text,category,predicted_intent,confidence,needs_human_review,correct,top_1_intent,top_1_score,top_2_intent,top_2_score,top_3_intent,top_3_score
Is it a good time to exchange?,exchange_rate,transfer_not_received_by_recipient,0.20969628,True,False,transfer_not_received_by_recipient,0.20969628,card_delivery_estimate,0.18377843,exchange_rate,0.119000606
I think my child used my card while I wasn't home.,compromised_card,age_limit,0.2112561,True,False,age_limit,0.2112561,compromised_card,0.10866099,lost_or_stolen_card,0.09090254
The NFC payment wouldn't work on the bus today. Help?,contactless_not_working,declined_card_payment,0.21345702,True,False,declined_card_payment,0.21345702,apple_pay_or_google_pay,0.14244466,card_not_working,0.12264938
Can i get a throw away card,get_disposable_virtual_card,getting_spare_card,0.21643342,True,False,getting_spare_card,0.21643342,order_physical_card,0.12890054,card_about_to_expire,0.08276095
How do i finalize a card payment,pending_card_payment,supported_cards_and_currencies,0.22953412,True,False,supported_cards_and_currencies,0.22953412,pending_card_payment,0.10298419,reverted_card_payment?,0.08935187
how come i can't find anywhere to load using cash,top_up_by_cash_or_cheque,balance_not_updated_after_cheque_or_cash_deposit,0.23410493,True,False,balance_not_updated_after_cheque_or_cash_deposit,0.23410493,declined_cash_withdrawal,0.2022088,top_up_by_cash_or_cheque,0.13653846
"i know i entered the right info, but my top up isn't in my balance",topping_up_by_card,top_up_reverted,0.23564716,True,False,top_up_reverted,0.23564716,top_up_failed,0.21069686,topping_up_by_card,0.20903818
I was charged on my account that shouldn't be there.,direct_debit_payment_not_recognised,card_payment_not_recognised,0.23714669,True,False,card_payment_not_recognised,0.23714669,extra_charge_on_statement,0.21432193,card_payment_fee_charged,0.08735949
I was taking out funds and was unable to regain my card.,card_swallowed,cash_withdrawal_not_recognised,0.23832242,True,False,cash_withdrawal_not_recognised,0.23832242,top_up_failed,0.122258,declined_cash_withdrawal,0.09644557
Should i reinstall the payment app?,contactless_not_working,reverted_card_payment?,0.2463887,True,False,reverted_card_payment?,0.2463887,contactless_not_working,0.23244725,card_payment_not_recognised,0.101175286
Why is my transfer not done yet?,pending_transfer,balance_not_updated_after_bank_transfer,0.25196123,True,False,balance_not_updated_after_bank_transfer,0.25196123,transfer_not_received_by_recipient,0.21250708,pending_transfer,0.19695006
I want to order another crad,getting_spare_card,request_refund,0.25392738,True,False,request_refund,0.25392738,getting_spare_card,0.18059821,order_physical_card,0.10406054
Trouble transferring transaction contact for help,declined_transfer,transfer_not_received_by_recipient,0.25709474,True,False,transfer_not_received_by_recipient,0.25709474,failed_transfer,0.25627992,beneficiary_not_allowed,0.12311377
"Hello, I am facing the issue with my new card as payments are declining again and again. Please help me in this issue.",declined_card_payment,reverted_card_payment?,0.25803524,True,False,reverted_card_payment?,0.25803524,declined_card_payment,0.2575436,transaction_charged_twice,0.07386281
How do I retrieve my card from the machine?,card_swallowed,card_linking,0.25949964,True,False,card_linking,0.25949964,lost_or_stolen_card,0.20945193,card_swallowed,0.15920965
What extra charges are there?,transfer_fee_charged,card_payment_fee_charged,0.26110455,True,False,card_payment_fee_charged,0.26110455,extra_charge_on_statement,0.21060827,getting_spare_card,0.09451354
Can I get my card expedited?,card_delivery_estimate,card_about_to_expire,0.26157004,True,False,card_about_to_expire,0.26157004,card_delivery_estimate,0.21250765,card_arrival,0.1691494
what is the charges for new card?,contactless_not_working,order_physical_card,0.26234597,True,False,order_physical_card,0.26234597,card_payment_fee_charged,0.18916328,getting_spare_card,0.16096337
Where's accounting for my cash withdrawal?,pending_cash_withdrawal,cash_withdrawal_charge,0.26511842,True,False,cash_withdrawal_charge,0.26511842,pending_cash_withdrawal,0.2311221,cash_withdrawal_not_recognised,0.21564624
im not sure what this charge is for,card_payment_fee_charged,direct_debit_payment_not_recognised,0.26713637,True,False,direct_debit_payment_not_recognised,0.26713637,extra_charge_on_statement,0.1987792,card_payment_not_recognised,0.15046734
What can I use my card to pay for?,card_acceptance,supported_cards_and_currencies,0.26749444,True,False,supported_cards_and_currencies,0.26749444,card_acceptance,0.19220845,card_payment_fee_charged,0.15903452
Where is my transfer from [country]?,balance_not_updated_after_bank_transfer,transfer_not_received_by_recipient,0.2684105,True,False,transfer_not_received_by_recipient,0.2684105,transfer_timing,0.18957444,balance_not_updated_after_bank_transfer,0.18904725
My withdrawal was cancelled.,declined_cash_withdrawal,top_up_reverted,0.26905558,True,False,top_up_reverted,0.26905558,declined_cash_withdrawal,0.2379503,pending_cash_withdrawal,0.1264452
Why am I being charged more ?,card_payment_wrong_exchange_rate,transaction_charged_twice,0.26993322,True,False,transaction_charged_twice,0.26993322,card_payment_fee_charged,0.24621673,transfer_fee_charged,0.21664822
"I attempted to use my card while I was intoxicated, and I failed to input my PIN, and the machine kept my card. How soon can I have it back?",pin_blocked,card_not_working,0.27215117,True,False,card_not_working,0.27215117,pin_blocked,0.20811397,card_swallowed,0.12548071
Why did I not get my cash back after I withdrew?,wrong_amount_of_cash_received,declined_cash_withdrawal,0.27324668,True,False,declined_cash_withdrawal,0.27324668,wrong_amount_of_cash_received,0.19684908,cash_withdrawal_charge,0.19014475
Do you offer additional currency options?,fiat_currency_support,supported_cards_and_currencies,0.27358437,True,False,supported_cards_and_currencies,0.27358437,exchange_via_app,0.20738572,exchange_charge,0.19483237
How do I freeze my card using the app?,compromised_card,card_not_working,0.27384064,True,False,card_not_working,0.27384064,card_linking,0.1560695,cash_withdrawal_not_recognised,0.06910094
I was charged for something I didn't expect,transfer_fee_charged,card_payment_fee_charged,0.2745417,True,False,card_payment_fee_charged,0.2745417,transfer_fee_charged,0.16399421,extra_charge_on_statement,0.13858987
I need to find out why my transfer didn't get there.,transfer_not_received_by_recipient,failed_transfer,0.2753913,True,False,failed_transfer,0.2753913,transfer_not_received_by_recipient,0.22516236,balance_not_updated_after_bank_transfer,0.22053595
I want this amount reversed out of my account.,request_refund,cancel_transfer,0.27660805,True,False,cancel_transfer,0.27660805,wrong_amount_of_cash_received,0.18798444,request_refund,0.08984453
I transferred some money but the recipient is having trouble withdrawing.,transfer_not_received_by_recipient,beneficiary_not_allowed,0.2801671,True,False,beneficiary_not_allowed,0.2801671,wrong_exchange_rate_for_cash_withdrawal,0.12957853,transfer_not_received_by_recipient,0.11439034
Can I add funds to the card directly from my bank account?,transfer_into_account,supported_cards_and_currencies,0.28846383,True,False,supported_cards_and_currencies,0.28846383,top_up_by_card_charge,0.17988047,transfer_into_account,0.15045923
Why hasn't my transfer gone through yet?,pending_transfer,transfer_not_received_by_recipient,0.2897364,True,False,transfer_not_received_by_recipient,0.2897364,failed_transfer,0.20600083,balance_not_updated_after_bank_transfer,0.17295161
Is it okay to use a bank card to top up,top_up_by_card_charge,supported_cards_and_currencies,0.29051453,True,False,supported_cards_and_currencies,0.29051453,top_up_by_card_charge,0.21342516,topping_up_by_card,0.18242407
Freeze my account it's been hacked.,compromised_card,terminate_account,0.29093194,True,False,terminate_account,0.29093194,compromised_card,0.28929558,passcode_forgotten,0.104640014
How long do transfer pend for?,pending_transfer,transfer_timing,0.29657623,True,False,transfer_timing,0.29657623,pending_transfer,0.2810376,balance_not_updated_after_bank_transfer,0.25521076
How long for money transfer to show?,pending_transfer,balance_not_updated_after_bank_transfer,0.29705155,True,False,balance_not_updated_after_bank_transfer,0.29705155,pending_transfer,0.28998044,transfer_timing,0.26968434
Can you tell me if my pop-up went through?,top_up_failed,pending_top_up,0.3024916,True,False,pending_top_up,0.3024916,top_up_failed,0.18906665,passcode_forgotten,0.07428661
What us the fee to transfer money from my bank?,top_up_by_bank_transfer_charge,transfer_fee_charged,0.30641997,True,False,transfer_fee_charged,0.30641997,top_up_by_bank_transfer_charge,0.28464884,exchange_charge,0.08854954
So I just put my top-up into the card and it hasn't changed.,pending_top_up,topping_up_by_card,0.30683863,True,False,topping_up_by_card,0.30683863,top_up_failed,0.21833923,verify_top_up,0.11854461
"I was attempting to purchase a golf club off eBay yesterday, but my credit card was declined. I tried multiple times, and again this morning. Can you check into my card please?",declined_transfer,declined_card_payment,0.3081336,True,False,declined_card_payment,0.3081336,declined_transfer,0.16418134,declined_cash_withdrawal,0.10556947
Can I use app to freeze my card and dispute fraud?,compromised_card,cash_withdrawal_not_recognised,0.31156108,True,False,cash_withdrawal_not_recognised,0.31156108,compromised_card,0.20847271,card_payment_not_recognised,0.15201928
How can someone add money to my account?,topping_up_by_card,transfer_into_account,0.31238908,True,False,transfer_into_account,0.31238908,topping_up_by_card,0.17585859,top_up_by_cash_or_cheque,0.124523565
Double check your funds may be declined,declined_transfer,transaction_charged_twice,0.31770706,True,False,transaction_charged_twice,0.31770706,declined_cash_withdrawal,0.16120045,declined_transfer,0.07166888
Why can't I see the top-up amount I just added to my account?,topping_up_by_card,top_up_reverted,0.31828102,True,False,top_up_reverted,0.31828102,pending_top_up,0.27008873,topping_up_by_card,0.2373938
Someone has taken my money and I don't know who,direct_debit_payment_not_recognised,cash_withdrawal_not_recognised,0.31923822,True,False,cash_withdrawal_not_recognised,0.31923822,verify_source_of_funds,0.20696208,card_payment_not_recognised,0.15574892
Can you tell me what the transfer policy is?,top_up_by_bank_transfer_charge,beneficiary_not_allowed,0.3227838,True,False,beneficiary_not_allowed,0.3227838,transfer_fee_charged,0.13463809,transfer_timing,0.08792228
I got a message that I need to verify my identity; what do I do?,verify_my_identity,unable_to_verify_identity,0.3228079,True,False,unable_to_verify_identity,0.3228079,verify_my_identity,0.31809375,why_verify_identity,0.26726672
How do I contact customer support about a transfer?,declined_transfer,transfer_not_received_by_recipient,0.33371708,True,False,transfer_not_received_by_recipient,0.33371708,transfer_fee_charged,0.14400953,declined_transfer,0.12588166
"There is an incoming payment into my account, but it is deactivated. Will they still be processed?",fiat_currency_support,pending_cash_withdrawal,0.33493608,True,False,pending_cash_withdrawal,0.33493608,pending_card_payment,0.25899756,reverted_card_payment?,0.22401804
I was retrieving money and my card wouldn't remove.,card_swallowed,cash_withdrawal_not_recognised,0.3460666,True,False,cash_withdrawal_not_recognised,0.3460666,card_swallowed,0.17172694,lost_or_stolen_card,0.06362787
Can I make multiple online transactions with my virtual card?,virtual_card_not_working,disposable_card_limits,0.3462014,True,False,disposable_card_limits,0.3462014,get_disposable_virtual_card,0.14889382,virtual_card_not_working,0.10305526
"How can I fix my card, it got declined twice.",declined_transfer,declined_card_payment,0.3492234,True,False,declined_card_payment,0.3492234,card_not_working,0.27871034,transaction_charged_twice,0.09168569
Can you freeze my account?  I just saw there are transactions on my account that I don't recognize.  How can I fix this?,card_payment_not_recognised,compromised_card,0.3505448,True,False,compromised_card,0.3505448,card_payment_not_recognised,0.23729455,terminate_account,0.0542532
My payments from my virtual card keep getting rejected.,virtual_card_not_working,declined_card_payment,0.35149235,True,False,declined_card_payment,0.35149235,virtual_card_not_working,0.24832895,reverted_card_payment?,0.19392802
Why has my payment not gone through?,pending_card_payment,reverted_card_payment?,0.35274532,True,False,reverted_card_payment?,0.35274532,pending_card_payment,0.2882349,declined_card_payment,0.27897254
I tryed to make a top-up with cryptocurrency but the payment was referted.,top_up_reverted,card_payment_not_recognised,0.35582292,True,False,card_payment_not_recognised,0.35582292,supported_cards_and_currencies,0.111479856,reverted_card_payment?,0.06094738
I am concerned about the security in my account and would like to make a dispute.,direct_debit_payment_not_recognised,why_verify_identity,0.3564561,True,False,why_verify_identity,0.3564561,compromised_card,0.1395743,verify_my_identity,0.08893332
Nothing goes through on my card.,card_not_working,declined_card_payment,0.36239624,True,False,declined_card_payment,0.36239624,card_not_working,0.2818645,top_up_failed,0.042630736
I have a top up that didn't go through.  Why?,top_up_failed,top_up_reverted,0.36265093,True,False,top_up_reverted,0.36265093,pending_top_up,0.33397567,top_up_failed,0.2839731
Am I allowed to use any card to make a payment?,visa_or_mastercard,supported_cards_and_currencies,0.364218,True,False,supported_cards_and_currencies,0.364218,card_acceptance,0.24385384,declined_card_payment,0.075420454
"OMG!  I'm trying to load my card and it wont top up!  I desperately need the money either on my card or in my bank, where is it?",pending_top_up,topping_up_by_card,0.36682668,True,False,topping_up_by_card,0.36682668,pending_top_up,0.09740796,top_up_failed,0.09387471
There are some strange charges on my card that I didn't make from a few days ago.  Is my card stolen and if so should I cancel it?  Will I get refunded the charges?,card_payment_not_recognised,compromised_card,0.36693016,True,False,compromised_card,0.36693016,card_payment_not_recognised,0.24788013,lost_or_stolen_card,0.083634816
When will the transfer be completed?,pending_transfer,transfer_not_received_by_recipient,0.36853653,True,False,transfer_not_received_by_recipient,0.36853653,pending_transfer,0.356087,transfer_timing,0.1517928
WHAT CAN I DO AFTER THE CARD MISSING,activate_my_card,lost_or_stolen_card,0.37207866,True,False,lost_or_stolen_card,0.37207866,card_not_working,0.19600569,card_linking,0.112488344
Do these virtual cards have any caps on using them?,disposable_card_limits,getting_virtual_card,0.3730308,True,False,getting_virtual_card,0.3730308,get_disposable_virtual_card,0.17783944,supported_cards_and_currencies,0.05767864
I have a cryptocurrency exchange that won't go through. Please help me process it.,beneficiary_not_allowed,exchange_via_app,0.37401274,True,False,exchange_via_app,0.37401274,beneficiary_not_allowed,0.1222588,fiat_currency_support,0.11835781
"I have been waiting longer than expected for my bank card, could you provide information on when it will arrive?",card_arrival,card_delivery_estimate,0.3854526,True,False,card_delivery_estimate,0.3854526,card_arrival,0.35886374,pending_card_payment,0.07938812
Can I transfer money to a beneficiery?,beneficiary_not_allowed,receiving_money,0.3938491,True,False,receiving_money,0.3938491,beneficiary_not_allowed,0.21008731,transfer_into_account,0.13687243
What are the available cards?,visa_or_mastercard,getting_spare_card,0.39731976,True,False,getting_spare_card,0.39731976,order_physical_card,0.19054158,visa_or_mastercard,0.1478295
"When I got cash, I'm pretty sure there was a glitch that overcharged me.",cash_withdrawal_charge,wrong_amount_of_cash_received,0.39921367,True,False,wrong_amount_of_cash_received,0.39921367,wrong_exchange_rate_for_cash_withdrawal,0.16656953,cash_withdrawal_charge,0.08999112
WTF??? I tried to withdraw some money at a Metro bank on High St. Kensington and without any notice it disappeared in the machine. The bank was already closed so I couldn't do anything. How do I get it back?,card_swallowed,cash_withdrawal_not_recognised,0.39922357,True,False,cash_withdrawal_not_recognised,0.39922357,pending_cash_withdrawal,0.103743315,card_swallowed,0.09041648
I think my statement has a fraudulent charge,card_payment_not_recognised,direct_debit_payment_not_recognised,0.40027303,True,False,direct_debit_payment_not_recognised,0.40027303,card_payment_not_recognised,0.21515983,compromised_card,0.09198722
The transfer is coming up as pending the payment is due today. Will I be charged a fee?,pending_transfer,transfer_fee_charged,0.40086788,True,False,transfer_fee_charged,0.40086788,top_up_by_bank_transfer_charge,0.180466,pending_transfer,0.16173096
"I am traveling to Germany, Will I be able to use my card there?",card_acceptance,country_support,0.4012604,True,False,country_support,0.4012604,card_acceptance,0.36056757,card_linking,0.029273072
My card is being declined online. Could you tell me what might be broken or wrong with the account?,declined_transfer,declined_card_payment,0.40267575,True,False,declined_card_payment,0.40267575,declined_transfer,0.21657671,card_not_working,0.12635417
"I didn't get cash from an ATM, but the app says I did",cash_withdrawal_not_recognised,wrong_amount_of_cash_received,0.4030443,True,False,wrong_amount_of_cash_received,0.4030443,cash_withdrawal_not_recognised,0.34402806,declined_cash_withdrawal,0.12159073
I have tried transferring money numerous times.  All I keep getting is an error message.  Can you tell me what is going on and how this van be fixed?,beneficiary_not_allowed,failed_transfer,0.40390736,True,False,failed_transfer,0.40390736,beneficiary_not_allowed,0.397175,declined_transfer,0.08308964
Why is my top-up still outstanding?,pending_top_up,top_up_reverted,0.4043914,True,False,top_up_reverted,0.4043914,pending_top_up,0.37501848,top_up_failed,0.13784276
Can i get a single use virtual card,get_disposable_virtual_card,getting_virtual_card,0.40513712,True,False,getting_virtual_card,0.40513712,get_disposable_virtual_card,0.3323612,disposable_card_limits,0.095214725
I made a currency exchange and think I was charged more than I should of been.,card_payment_wrong_exchange_rate,wrong_exchange_rate_for_cash_withdrawal,0.40574792,True,False,wrong_exchange_rate_for_cash_withdrawal,0.40574792,card_payment_wrong_exchange_rate,0.35463396,exchange_charge,0.083106555
I have completed a transfer but it is not showing up.,balance_not_updated_after_bank_transfer,transfer_not_received_by_recipient,0.40677953,True,False,transfer_not_received_by_recipient,0.40677953,balance_not_updated_after_bank_transfer,0.39435676,pending_transfer,0.15089612
i was charged when i used a us issued card. why and what cards are free to use to add money,top_up_by_card_charge,card_payment_fee_charged,0.4072106,True,False,card_payment_fee_charged,0.4072106,top_up_by_card_charge,0.39095533,supported_cards_and_currencies,0.06196469
Is there a way my new card can be renewed?,activate_my_card,card_about_to_expire,0.4072647,True,False,card_about_to_expire,0.4072647,activate_my_card,0.17556977,getting_spare_card,0.14123918
The card got declined twice when I tried to use it to buy something online yesterday.,declined_transfer,declined_card_payment,0.40986168,True,False,declined_card_payment,0.40986168,declined_transfer,0.20135012,reverted_card_payment?,0.06511822
There is a fraudulent charge on my statement.,card_payment_not_recognised,direct_debit_payment_not_recognised,0.42102724,True,False,direct_debit_payment_not_recognised,0.42102724,card_payment_not_recognised,0.19060917,extra_charge_on_statement,0.10084912
I made an out of country transfer and it hasn't went through yet.,balance_not_updated_after_bank_transfer,transfer_not_received_by_recipient,0.42140746,True,False,transfer_not_received_by_recipient,0.42140746,balance_not_updated_after_bank_transfer,0.1807024,pending_transfer,0.08420777
How do I locate my card?,card_arrival,lost_or_stolen_card,0.42157212,True,False,lost_or_stolen_card,0.42157212,card_linking,0.2232802,card_arrival,0.15313426
On my last transaction it seem that my top-up was not successful.,top_up_reverted,top_up_failed,0.4222933,True,False,top_up_failed,0.4222933,top_up_reverted,0.33063653,pending_top_up,0.18995562
I am getting continuous failure for all my transfers. I have cross checked each recipient detail again and again and everything is correct.,declined_transfer,failed_transfer,0.4250355,True,False,failed_transfer,0.4250355,declined_transfer,0.25060195,beneficiary_not_allowed,0.15470842
"It's been two weeks, why has the transaction for $1.00 not been reversed?",extra_charge_on_statement,reverted_card_payment?,0.42529652,True,False,reverted_card_payment?,0.42529652,extra_charge_on_statement,0.120016806,transfer_not_received_by_recipient,0.10305509
When will the transfer go through?,pending_transfer,transfer_timing,0.42796445,True,False,transfer_timing,0.42796445,transfer_not_received_by_recipient,0.26255205,pending_transfer,0.15672937
Can I get cash with this card anywhere?,atm_support,card_acceptance,0.43063328,False,False,card_acceptance,0.43063328,atm_support,0.2510403,order_physical_card,0.08519606
How do I use my new card?,activate_my_card,card_linking,0.44235706,False,False,card_linking,0.44235706,activate_my_card,0.38785627,card_not_working,0.016305136
I transferred some money but the receiver can't pick it up for some reason.,transfer_not_received_by_recipient,transfer_fee_charged,0.44319215,False,False,transfer_fee_charged,0.44319215,transfer_not_received_by_recipient,0.20412108,failed_transfer,0.08145023
Why is a money transfer not showing?,pending_transfer,transfer_not_received_by_recipient,0.44339252,False,False,transfer_not_received_by_recipient,0.44339252,balance_not_updated_after_bank_transfer,0.33522448,pending_transfer,0.15139401
Where did this fee come from?,extra_charge_on_statement,card_payment_fee_charged,0.44617194,False,False,card_payment_fee_charged,0.44617194,transfer_fee_charged,0.22445838,extra_charge_on_statement,0.15359052
someone stole my money,direct_debit_payment_not_recognised,cash_withdrawal_not_recognised,0.44670838,False,False,cash_withdrawal_not_recognised,0.44670838,lost_or_stolen_phone,0.11983734,card_payment_not_recognised,0.060810667
Why don't I have my transfer?,balance_not_updated_after_bank_transfer,failed_transfer,0.45366383,False,False,failed_transfer,0.45366383,balance_not_updated_after_bank_transfer,0.14473028,transfer_not_received_by_recipient,0.10174649
I have paid money into my account but it doesn't show.,balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_bank_transfer,0.45451108,False,False,balance_not_updated_after_bank_transfer,0.45451108,balance_not_updated_after_cheque_or_cash_deposit,0.10791524,transfer_not_received_by_recipient,0.097998396
Can I use app to freeze account and dispute fraud?,compromised_card,cash_withdrawal_not_recognised,0.45866117,False,False,cash_withdrawal_not_recognised,0.45866117,direct_debit_payment_not_recognised,0.1035047,compromised_card,0.08324577
What is the need to verify my identity?,why_verify_identity,verify_my_identity,0.46372065,False,False,verify_my_identity,0.46372065,why_verify_identity,0.42460772,unable_to_verify_identity,0.10427542
"If I want to exchange currency, will there be extras?",exchange_charge,exchange_via_app,0.46743056,False,False,exchange_via_app,0.46743056,exchange_charge,0.33881214,fiat_currency_support,0.06343679
do the details of my profile have to match my documents,verify_my_identity,why_verify_identity,0.4727032,False,False,why_verify_identity,0.4727032,edit_personal_details,0.22008447,verify_my_identity,0.18162
Is it possible for me to get money out in a different currency?,receiving_money,exchange_via_app,0.47283247,False,False,exchange_via_app,0.47283247,receiving_money,0.19630225,wrong_exchange_rate_for_cash_withdrawal,0.14621589
"I really need money from my card today, but my card is getting declined. Please help!!",top_up_failed,declined_card_payment,0.47327942,False,False,declined_card_payment,0.47327942,declined_cash_withdrawal,0.13551667,top_up_failed,0.104192846
I would like a temporary virtual card,get_disposable_virtual_card,getting_virtual_card,0.4845613,False,False,getting_virtual_card,0.4845613,get_disposable_virtual_card,0.44464698,disposable_card_limits,0.017289747
I do not have what is required to prove my identity,unable_to_verify_identity,verify_my_identity,0.48644635,False,False,verify_my_identity,0.48644635,unable_to_verify_identity,0.36522764,why_verify_identity,0.121829994
When will my transfer go through?,pending_transfer,transfer_timing,0.4868642,False,False,transfer_timing,0.4868642,pending_transfer,0.15471819,transfer_not_received_by_recipient,0.144604
Are there any hindrances to using a disposable virtual card?,disposable_card_limits,get_disposable_virtual_card,0.49000007,False,False,get_disposable_virtual_card,0.49000007,disposable_card_limits,0.414683,virtual_card_not_working,0.07414287
Can you help with a transfer to an account,beneficiary_not_allowed,transfer_into_account,0.49113554,False,False,transfer_into_account,0.49113554,beneficiary_not_allowed,0.11000689,failed_transfer,0.06338037
I bought something and returned it and the money from the return isn't in my account.,Refund_not_showing_up,reverted_card_payment?,0.49192408,False,False,reverted_card_payment?,0.49192408,Refund_not_showing_up,0.26428106,request_refund,0.08403165
I had a transfer blocked,beneficiary_not_allowed,failed_transfer,0.4941852,False,False,failed_transfer,0.4941852,beneficiary_not_allowed,0.17653674,declined_transfer,0.07486761
how long do money transfers take?,transfer_not_received_by_recipient,transfer_timing,0.49988624,False,False,transfer_timing,0.49988624,balance_not_updated_after_bank_transfer,0.19343813,pending_transfer,0.14378393
Can I be topped up once I hit a certain balance?,automatic_top_up,top_up_limits,0.5037933,False,False,top_up_limits,0.5037933,automatic_top_up,0.24381551,topping_up_by_card,0.060037635
Which forms of currency are accepted?,supported_cards_and_currencies,fiat_currency_support,0.50708747,False,False,fiat_currency_support,0.50708747,supported_cards_and_currencies,0.3749455,exchange_via_app,0.035627395
Is GBP a supported currency?,receiving_money,exchange_via_app,0.5152971,False,False,exchange_via_app,0.5152971,receiving_money,0.24059719,fiat_currency_support,0.10080247
Why did I get a fee?,cash_withdrawal_charge,card_payment_fee_charged,0.51831883,False,False,card_payment_fee_charged,0.51831883,cash_withdrawal_charge,0.22523515,transfer_fee_charged,0.16596098
How can I check the exchange rate applied to my transaction?,card_payment_wrong_exchange_rate,exchange_rate,0.5192165,False,False,exchange_rate,0.5192165,wrong_exchange_rate_for_cash_withdrawal,0.24597785,card_payment_wrong_exchange_rate,0.12420986
I would like a refund on the extra pound I was charged.,extra_charge_on_statement,request_refund,0.5195164,False,False,request_refund,0.5195164,extra_charge_on_statement,0.29420334,direct_debit_payment_not_recognised,0.042266823
I took out a foreign currency and the exchange rate is wrong.,wrong_exchange_rate_for_cash_withdrawal,card_payment_wrong_exchange_rate,0.52068,False,False,card_payment_wrong_exchange_rate,0.52068,wrong_exchange_rate_for_cash_withdrawal,0.46525598,exchange_rate,0.0048623444
What all currencies can be exchanged?,exchange_via_app,fiat_currency_support,0.53009576,False,False,fiat_currency_support,0.53009576,exchange_via_app,0.29923472,exchange_charge,0.080556646
May I receive a different card pin,change_pin,get_physical_card,0.53262043,False,False,get_physical_card,0.53262043,change_pin,0.16482136,getting_spare_card,0.070090495
How do I know when my card will arrive?,card_arrival,card_delivery_estimate,0.53635013,False,False,card_delivery_estimate,0.53635013,card_arrival,0.40783486,card_about_to_expire,0.0076202303
what is the identity check?,why_verify_identity,verify_my_identity,0.5368549,False,False,verify_my_identity,0.5368549,why_verify_identity,0.40628722,unable_to_verify_identity,0.017002024
Cannot access my top up.,topping_up_by_card,top_up_failed,0.5420252,False,False,top_up_failed,0.5420252,top_up_reverted,0.21070904,pending_top_up,0.15901113
Will you accept my other card?,supported_cards_and_currencies,getting_spare_card,0.5432283,False,False,getting_spare_card,0.5432283,supported_cards_and_currencies,0.30630964,card_acceptance,0.037030026
I used the ATM machine to get money out for Holiday shopping and saw the outrageous charges. Why is that? I would not have used the ATM if I had known!,wrong_exchange_rate_for_cash_withdrawal,cash_withdrawal_charge,0.5449469,False,False,cash_withdrawal_charge,0.5449469,wrong_exchange_rate_for_cash_withdrawal,0.34343094,declined_cash_withdrawal,0.028694319
What is stopping my money from transferring?,failed_transfer,beneficiary_not_allowed,0.54922926,False,False,beneficiary_not_allowed,0.54922926,transfer_fee_charged,0.123154804,failed_transfer,0.08555423
